,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
115,0.48048009872436526,0.05528651202787698,0.11543998718261719,0.007642391365053469,0.01,"(50,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 3}",0.29026617447056535,0.3357411152845998,0.1150278293135436,0.0,0.0,0.1486541718778526,0.14171882277297926,150,0.35065480648048325,0.3633369923161357,0.04574742268041229,0.0,0.0,0.15194784429540625,0.1683001206446365
116,0.5272799968719483,0.011673932896651612,0.115440034866333,0.007642449765811761,0.01,"(50,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 4}",0.06013766453326893,0.17017883585829824,0.35313262815296986,0.17391304347826084,0.11940298507462686,0.17530803175651258,0.09805684739670704,137,0.04646592265038249,0.0754587940271286,0.23220469411311997,0.20716677550680093,0.2315904885904196,0.15857733497757034,0.08073475455891267
117,0.45239996910095215,0.04627705821617399,0.10919995307922363,1.784161275279017e-07,0.01,"(50,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",0.21530479896238652,0.16894718986769194,0.0,0.17518248175182483,0.17518248175182483,0.14694759548483594,0.07530926270176362,154,0.3643506481182741,0.11751131623324743,0.07626208378088063,0.20863943579194782,0.10398188760451593,0.1741490743057732,0.10495652086389934
118,0.35879998207092284,0.0418591902925975,0.10919995307922363,1.784161275279017e-07,0.01,"(50,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,0.0,0.0,0.04561516222293599,0.0,0.0,0.009123032444587198,0.018246064889174397
119,0.36503992080688474,0.015908906259959985,0.1092000961303711,1.9073486328125e-07,0.01,"(50,)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 7}",0.059906171057380005,0.17080141762890133,0.16955332725615316,0.3210702341137124,0.30094043887147337,0.2041748155824534,0.09607295756778478,68,0.15984371227253755,0.07618828403728843,0.3035598103912997,0.3915047602636449,0.5197329005130654,0.2901658934955672,0.1586948404371282
120,0.4430400848388672,0.04478051288546483,0.11231999397277832,0.0062401056314723615,0.01,"(50,)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 8}",0.11720404801129676,0.059676452965847816,0.16893732970027248,0.17391304347826084,0.0,0.10394829444363479,0.06634930997125285,206,0.1848566212007301,0.03115733985974487,0.21030805687203752,0.24313416407343447,0.4154369057350594,0.21697861754820127,0.12302493327366078
121,0.4399200439453125,0.04972477571116851,0.11856002807617187,0.007642332965038968,0.01,"(50,)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 9}",0.0,0.06060606060606061,0.06037000973709834,0.11940298507462686,0.0625,0.060489170423222466,0.03777434577832624,221,0.0,0.0,0.06106213717480101,0.08894390300282591,0.04606330228462849,0.03921386849245108,0.034850517598391965
122,0.44616003036499025,0.02116083755614555,0.115440034866333,0.007642352431958399,0.01,"(50,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 10}",0.3747178329571106,0.4814131294489849,0.22142857142857145,0.4037854889589905,0.22456140350877193,0.3413439881675847,0.10262690938023253,1,0.49367856957042,0.39794524290944827,0.2595728304791221,0.3514407657145739,0.4627560521415263,0.39307869216301816,0.08313421096878482
123,0.43991999626159667,0.03474277401235222,0.10920004844665528,1.7841612752790173e-07,0.01,"(50,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 15}",0.11632796075683252,0.113776559287183,0.3034257748776509,0.27681660899653976,0.11808118081180813,0.18556790746759974,0.08568425174055401,96,0.10496273981290617,0.235050857369619,0.32010820559062153,0.24675387363035148,0.44125039742289934,0.2696252147652795,0.11030498699243568
124,0.49920001029968264,0.09096301959019346,0.11232004165649415,0.006239962580324958,0.01,"(50,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 20}",0.11632796075683252,0.113776559287183,0.3034257748776509,0.27681660899653976,0.11808118081180813,0.18556790746759974,0.08568425174055401,96,0.10496273981290617,0.235050857369619,0.32010820559062153,0.24675387363035148,0.44125039742289934,0.2696252147652795,0.11030498699243568
125,0.39311995506286623,0.030249495823021177,0.10920000076293945,1.5078914929239175e-07,0.01,"(50,)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 25}",0.11632796075683252,0.113776559287183,0.3034257748776509,0.27681660899653976,0.11808118081180813,0.18556790746759974,0.08568425174055401,96,0.10496273981290617,0.235050857369619,0.32010820559062153,0.24675387363035148,0.44125039742289934,0.2696252147652795,0.11030498699243568
