,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
52,0.1280001163482666,0.0732638448605542,0.001199960708618164,0.0003999471771024199,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 40}",0.23709677419354838,0.34327956989247316,0.5176843317972353,0.5888546798029556,0.5565772669220945,0.447142833233281,0.13581469633766408,282,0.341344243924506,0.30602365441272705,0.6044668939570302,0.6820449842623326,0.5697983061677291,0.500735616544865,0.1494799502921785
53,0.15279994010925294,0.03978656539790976,0.0014000892639160155,0.0004899014056540585,0.1,"(25,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 45}",0.47922427035330256,0.6305875576036866,0.6017665130568357,0.523747947454844,0.6602809706257983,0.5788154338740059,0.06752348690016811,168,0.5343914143707015,0.595611187713792,0.6353019106909077,0.5688315483103451,0.6841864794698368,0.6036645081111166,0.052080064684604216
54,0.09679999351501464,0.028763796284935417,0.0012000560760498046,0.000400018706226792,0.1,"(25,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 50}",0.6032066052227342,0.4947964669738863,0.3839477726574503,0.6683087027914614,0.6176883780332056,0.5528616954193984,0.1019315696186844,215,0.5618736355115146,0.5206036170919093,0.4686496374117937,0.6737177526597052,0.6342062789730045,0.5718101843295854,0.07435236523577042
55,0.4407999038696289,0.07477818268620814,0.001200103759765625,0.0003999948892390431,0.1,"(25,)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 55}",0.5797619047619047,0.6585445468509984,0.551920122887865,0.6218185550082104,0.5898467432950192,0.600422739823289,0.03683153917737258,147,0.6389011807625563,0.6162024594891047,0.64484503953801,0.6525026260220418,0.6285980180756829,0.6362098647774792,0.01269251724784082
56,0.8028000831604004,1.3614479436122648,0.001399993896484375,0.0004899792418945042,0.1,"(25,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 60}",0.7119815668202764,0.27263824884792626,0.34345238095238106,0.3799671592775042,0.29818007662835244,0.40214570563830154,0.16051950419336247,300,0.7076928870640509,0.33645695702706485,0.3313489232494513,0.3155318839986149,0.33347611585617853,0.4049013534390721,0.15156897760017468
57,0.08180003166198731,0.04893831553998571,0.0012000083923339843,0.0004000425445315194,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 2}",0.32544162826420886,0.33112519201228874,0.37582565284178204,0.3321223316912973,0.32484035759897834,0.3379240969775592,0.01923305362209196,353,0.3440781445403941,0.3338814896981307,0.3952424221943534,0.40352876564568363,0.336836168893787,0.3627133981944698,0.03023975610065577
58,0.0850001335144043,0.03668242695200325,0.001199960708618164,0.0003999471771024199,0.1,"(25, 25)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 3}",0.336405529953917,0.3550691244239631,0.3707565284178189,0.24404761904761907,0.29964878671775225,0.32163820286300127,0.04516953004540067,360,0.30965600134750654,0.34737333037997364,0.3303523376112985,0.27614539769677715,0.41585302153648346,0.3358760177144079,0.04650646537147006
59,0.14319996833801268,0.010400088017278054,0.0024000167846679687,0.0013564169058931474,0.1,"(25, 25)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 4}",0.3425115207373271,0.3684331797235023,0.42855222734255016,0.35340722495894916,0.3718390804597701,0.3729612462205969,0.02981806796857486,318,0.43552755380535824,0.42409975489555674,0.40584565532467737,0.4124784524830389,0.4259475131516021,0.4207797859320467,0.01046101954695684
60,0.14520001411437988,0.05667940386421716,0.0011999130249023438,0.0003999710083007812,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 5}",0.4860983102918586,0.3389784946236559,0.515188172043011,0.5469211822660099,0.39936143039591315,0.4571491778953195,0.0769719985123569,275,0.526473132443225,0.320891478119496,0.5675074908195221,0.5650075612120206,0.46572878201660517,0.4891216889221738,0.0918115045139699
61,0.10999994277954102,0.05253940474603951,0.0012000083923339843,0.0003999233672256966,0.1,"(25, 25)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 6}",0.3912826420890937,0.48592549923195083,0.2505952380952382,0.41633825944170766,0.2519157088122605,0.35983042038642016,0.09346137349269021,333,0.46214173679189213,0.4594962937052911,0.2527866849900749,0.48173797329429197,0.26701766772282687,0.38463607130087535,0.102233370269366
62,0.19739995002746583,0.046024280958318946,0.001399993896484375,0.0004898819214545809,0.1,"(25, 25)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 7}",0.6106758832565283,0.4602342549923195,0.5190860215053766,0.46063218390804594,0.6391123882503192,0.537688269769054,0.07452910575036624,220,0.6870486576560234,0.5228374367055566,0.5207471294578826,0.5676505951484195,0.677997480979597,0.5952562599894958,0.07325315440310803
63,0.12820000648498536,0.08297321448921614,0.001600027084350586,0.0004898819214545809,0.1,"(25, 25)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 8}",0.24807987711213514,0.6147465437788019,0.35558755760368677,0.17073070607553364,0.4755108556832695,0.37329196238487816,0.15879290001922072,317,0.2665598432162376,0.5894620796455902,0.42292090645800023,0.22925935992474084,0.4367213723754196,0.3889847123239977,0.12970864702746798
64,0.17659997940063477,0.033434080204635,0.0014000415802001953,0.0004898429878647236,0.1,"(25, 25)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 9}",0.5932603686635943,0.6553379416282643,0.39617895545314924,0.566564039408867,0.4976053639846743,0.542208290146972,0.08897271151863674,216,0.6331091585202575,0.6391693668620341,0.4724670141105264,0.6375516566028596,0.5545752112320339,0.5873744814655424,0.06568354120339522
