,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
59,0.06552004814147949,0.0031200408935546874,0.2791988416988417,0.2744083066116964,0.1,"(25, 25)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 4}",264,0.3851190476190475,0.3488509696136814,0.2589285714285714,0.2731905634448007,0.2500000000000001,0.2500000000000001,0.24999999999999994,0.25,0.24999999999999997,0.25,0.022927213028916624,0.006240081787109375,0.05351973516698933,0.03828965726720302
60,0.1029599666595459,0.0031199932098388674,0.2893186028770706,0.28014102898785387,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 5}",214,0.314516129032258,0.27069502777401433,0.3225806451612903,0.32451564828614005,0.2500000000000001,0.25000000000000006,0.30833333333333335,0.305494468879115,0.24999999999999994,0.25,0.018720022837455916,0.006239986419677735,0.03221954920601805,0.03006025265367134
61,0.08423995971679688,0.0,0.25,0.25,0.1,"(25, 25)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 6}",285,0.24999999999999997,0.24999999999999997,0.25,0.24999999999999997,0.2500000000000001,0.2500000000000001,0.24999999999999994,0.25,0.24999999999999997,0.25,0.040198370861457895,0.0,5.825633763784216e-17,5.2662502028650513e-17
62,0.08112001419067383,0.003119945526123047,0.25,0.25,0.1,"(25, 25)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 7}",285,0.24999999999999997,0.25,0.25,0.24999999999999997,0.2500000000000001,0.25000000000000006,0.25,0.25,0.24999999999999994,0.25,0.036116680827887375,0.006239891052246094,5.690030222236891e-17,2.7755575615628914e-17
63,0.09360003471374512,0.0031199932098388674,0.25,0.25,0.1,"(25, 25)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 8}",285,0.24999999999999997,0.24999999999999997,0.25,0.24999999999999997,0.2500000000000001,0.2500000000000001,0.24999999999999994,0.25,0.24999999999999997,0.25,0.03557350039697386,0.006239986419677735,5.825633763784216e-17,5.2662502028650513e-17
64,0.15288004875183106,0.0,0.25,0.25,0.1,"(25, 25)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 9}",285,0.24999999999999997,0.24999999999999997,0.25,0.24999999999999997,0.2500000000000001,0.25000000000000006,0.25,0.25,0.24999999999999994,0.25,0.006239938736872875,0.0,5.690030222236891e-17,3.0404709722440586e-17
65,0.18095998764038085,0.0,0.2945451644040354,0.2939416707503192,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 10}",208,0.2817204301075269,0.2866073909419283,0.25,0.24999999999999997,0.2500000000000001,0.2500000000000001,0.44285714285714284,0.43310096280966753,0.24999999999999997,0.25,0.02719950303085639,0.0,0.07463579504653163,0.0710094522042737
66,0.19344010353088378,0.0,0.25,0.25,0.1,"(25, 25)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 15}",285,0.24999999999999997,0.25,0.25,0.24999999999999997,0.2500000000000001,0.25000000000000006,0.25,0.25,0.24999999999999994,0.25,0.02719959601577423,0.0,5.690030222236891e-17,2.7755575615628914e-17
67,0.18408002853393554,0.0031199932098388674,0.29751423991725723,0.32761934507986606,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 20}",195,0.20833333333333331,0.26213405238828963,0.23333333333333334,0.24147289536349625,0.24166666666666678,0.23405807168657966,0.37274220032840727,0.46127802569637605,0.43757982120051087,0.43915368026458884,0.06113920148759497,0.006239986419677735,0.0896474733370467,0.1007648719205796
68,0.18408002853393554,0.0,0.29751423991725723,0.32761934507986606,0.1,"(25, 25)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 25}",195,0.20833333333333331,0.26213405238828963,0.23333333333333334,0.24147289536349625,0.24166666666666678,0.23405807168657966,0.37274220032840727,0.46127802569637605,0.43757982120051087,0.43915368026458884,0.06720687433943782,0.0,0.0896474733370467,0.1007648719205796
69,0.19032001495361328,0.0031200408935546874,0.29751423991725723,0.32761934507986606,0.1,"(25, 25)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 30}",195,0.20833333333333331,0.26213405238828963,0.23333333333333334,0.24147289536349625,0.24166666666666678,0.23405807168657966,0.37274220032840727,0.46127802569637605,0.43757982120051087,0.43915368026458884,0.06424466404931883,0.006240081787109375,0.0896474733370467,0.1007648719205796
70,0.18719992637634278,0.0,0.29751423991725723,0.32761934507986606,0.1,"(25, 25)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 35}",195,0.20833333333333331,0.26213405238828963,0.23333333333333334,0.24147289536349625,0.24166666666666678,0.23405807168657966,0.37274220032840727,0.46127802569637605,0.43757982120051087,0.43915368026458884,0.061614977289700223,0.0,0.0896474733370467,0.1007648719205796
71,0.19032001495361328,0.0,0.29751423991725723,0.32761934507986606,0.1,"(25, 25)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 40}",195,0.20833333333333331,0.26213405238828963,0.23333333333333334,0.24147289536349625,0.24166666666666678,0.23405807168657966,0.37274220032840727,0.46127802569637605,0.43757982120051087,0.43915368026458884,0.06271125583237294,0.0,0.0896474733370467,0.1007648719205796
